store_name,street,city,state,zip,landline,mobile,website
Trader Joe's Rancho Palos Verdes (233),31176 Hawthorne Blvd,Rancho Palos Verdes,CA,90275,310-544-1727,310-544-1727,https://locations.traderjoes.com/ca/rancho-palos-verdes/233/
Trader Joe's Charlotte (744),1133 Metropolitan Ave,Charlotte,NC,28204,704-334-0737,704-334-0737,https://locations.traderjoes.com/nc/charlotte/744/
Trader Joe's Sunnyvale (68),316 West El Camino Real,Sunnyvale,CA,94087,408-736-7573,408-736-7573,https://locations.traderjoes.com/ca/sunnyvale/68/
Trader Joe's Corona (213),2790 Cabot Dr,Corona,CA,92883,951-603-0299,951-603-0299,https://locations.traderjoes.com/ca/corona/213/
Trader Joe's El Cerrito (108),225 El Cerrito Plaza,El Cerrito,CA,94530,510-524-7609,510-524-7609,https://locations.traderjoes.com/ca/el-cerrito/108/
Trader Joe's Pasadena (51),610 S Arroyo Pkwy,Pasadena,CA,91105,626-568-9254,626-568-9254,https://locations.traderjoes.com/ca/pasadena/51/
Trader Joe's San Francisco - Pacific Place (225),10 4th Street,San Francisco,CA,94103,415-536-7801,415-536-7801,https://locations.traderjoes.com/ca/san-francisco/225/
Trader Joe's Lexington Wine (626),2320 Nicholasville Road,Lexington,KY,40503,859-277-0144,859-277-0144,https://locations.traderjoes.com/ky/lexington/626/
Trader Joe's Kent (163),12966 SE Kent-Kangley Rd,Kent,WA,98030,253-639-3419,253-639-3419,https://locations.traderjoes.com/wa/kent/163/
Trader Joe's Rancho Santa Margarita (27),30652 Santa Margarita Pkwy,Rancho Santa Margarita,CA,92688,949-888-3640,949-888-3640,https://locations.traderjoes.com/ca/rancho-santa-margarita/27/
Trader Joe's Northbrook (682),127 Skokie Blvd,Northbrook,IL,60062,847-480-9280,847-480-9280,https://locations.traderjoes.com/il/northbrook/682/
Trader Joe's San Jose - Coleman Ave (212),635 Coleman Ave,San Jose,CA,95110,408-298-9731,408-298-9731,https://locations.traderjoes.com/ca/san-jose/212/
Trader Joe's Hyannis (514),655 Iyannough Road Rt 132,Hyannis,MA,02601,508-790-3008,508-790-3008,https://locations.traderjoes.com/ma/hyannis/514/
Trader Joe's Long Beach - PCH (43),6451 E Pacific Coast  Hwy,Long Beach,CA,90803,562-596-4388,562-596-4388,https://locations.traderjoes.com/ca/long-beach/43/
Trader Joe's Oro Valley (96),7912 N Oracle,Oro Valley,AZ,85704,520-797-4207,520-797-4207,https://locations.traderjoes.com/az/oro-valley/96/
Trader Joe's Fair Oaks (71),5309 Sunrise Blvd,Fair Oaks,CA,95628,916-863-1744,916-863-1744,https://locations.traderjoes.com/ca/fair-oaks/71/
Trader Joe's West Hollywood (173),8611 Santa Monica Blvd,West Hollywood,CA,90069,310-657-0152,310-657-0152,https://locations.traderjoes.com/ca/west-hollywood/173/
Trader Joe's Dublin (672),6355 Sawmill Rd,Dublin,OH,43017,614-793-8505,614-793-8505,https://locations.traderjoes.com/oh/dublin/672/
Trader Joe's Clifton (610),259 Allwood Road,Clifton,NJ,07012,973-777-5020,973-777-5020,https://locations.traderjoes.com/nj/clifton/610/
Trader Joe's Rochester Hills (668),3044 Walton Blvd,Rochester Hills,MI,48309,248-375-2190,248-375-2190,https://locations.traderjoes.com/mi/rochester-hills/668/
Trader Joe's Phoenix - Town & Country (90),4821 N 20th St,Phoenix,AZ,85016,602-912-9022,602-912-9022,https://locations.traderjoes.com/az/phoenix/90/
Trader Joe's Warwick (518),1000 Bald Hill Rd,Warwick,RI,02886,401-821-5368,401-821-5368,https://locations.traderjoes.com/ri/warwick/518/
Trader Joe's Ashburn (619),44755 Brimfield Dr,Ashburn,VA,20147,703-858-5993,703-858-5993,https://locations.traderjoes.com/va/ashburn/619/
Trader Joe's Burbank (124),214 E Alameda Ave,Burbank,CA,91502,818-848-4299,818-848-4299,https://locations.traderjoes.com/ca/burbank/124/
Trader Joe's Chesterfield (693),1679 Clarkson Rd,Chesterfield,MO,63017,636-536-7846,636-536-7846,https://locations.traderjoes.com/mo/chesterfield/693/
Trader Joe's Colorado Springs (305),5342 N Nevada Ave,Colorado Springs,CO,80918,719-264-0123,719-264-0123,https://locations.traderjoes.com/co/colorado-springs/305/
Trader Joe's San Francisco - 9th St (78),555 9th St,San Francisco,CA,94103,415-863-1292,415-863-1292,https://locations.traderjoes.com/ca/san-francisco/78/
Trader Joe's Riverside (15),6225 Riverside Plaza,Riverside,CA,92506,951-781-2378,951-781-2378,https://locations.traderjoes.com/ca/riverside/15/
